text,emotion,texto_limpio,label_codificada
Las consecuencias de lo que se viene haciendo desde 2002 hasta ahora:  Default Sin justicia Hiperinflacion Infraestructura destruida Endeudamiento Gasto publico desbordado Carga tributaria confiscatoria Regulaciones que violan la constitucion,Preocupado,las consecuencias de lo que se viene haciendo desde 2002 hasta ahora  default sin justicia hiperinflacion infraestructura destruida endeudamiento gasto publico desbordado carga tributaria confiscatoria regulaciones que violan la constitucion,13
"""Simplemente obstruí un poco mi inodoro y comenzó desbordado y tuve un ataque de pánico así que usé el émbolo que fue tan jodidamente tonto porque luego comenzó a desbordarse aún más y luego comencé temblando y fue a poner toallas alrededor del fondo de el baño lo cual me hace-",Preocupado,simplemente obstruí un poco mi inodoro y comenzó desbordado y tuve un ataque de pánico así que usé el émbolo que fue tan jodidamente tonto porque luego comenzó a desbordarse aún más y luego comencé temblando y fue a poner toallas alrededor del fondo de el baño lo cual me hace,13
Pones jazz quesque para relajarte y todo es un sonidero desbordado para todos lados.  Ya mejor le cambio a canciones de Celine Dion.,Preocupado,pones jazz quesque para relajarte y todo es un sonidero desbordado para todos lados  ya mejor le cambio a canciones de celine dion,13
"Como ha dicho él mismo es importante ver cómo se levanta mañana. El músculo debe estar muy sobrecargado tras casi 4 horas pero si no nota mucho más es posible que no haya rotura ni desgarro, porque eso se debe notar (o no)... En 10 días empieza Australia #BrisbaneTennis",Preocupado,como ha dicho él mismo es importante ver cómo se levanta mañana el músculo debe estar muy sobrecargado tras casi 4 horas pero si no nota mucho más es posible que no haya rotura ni desgarro porque eso se debe notar o no en 10 días empieza australia,13
"Vivir en ignorancia aporta mas tranquilidad, pero es mejor estar sobrecargado de información y ser pragmatico y coherente con la misma, antes que vivir en una burbuja sin saber lo que acontece a nuestro alrededor.  Un incendio te va a quemar por mas que lo ignores con Vehemencia.",Preocupado,vivir en ignorancia aporta mas tranquilidad pero es mejor estar sobrecargado de información y ser pragmatico y coherente con la misma antes que vivir en una burbuja sin saber lo que acontece a nuestro alrededor  un incendio te va a quemar por mas que lo ignores con vehemencia,13
Qué día más sobrecargado de emoción. No me den más días así que sobrepienso.,Preocupado,qué día más sobrecargado de emoción no me den más días así que sobrepienso,13
"ya le dije q me escriba cuando qiera, si no lo quiere hacer yo no le voy a andar rogando, ando sobrecargado de cosas que lo único que puedo hacer es responder de a ratos",Preocupado,ya le dije q me escriba cuando qiera si no lo quiere hacer yo no le voy a andar rogando ando sobrecargado de cosas que lo único que puedo hacer es responder de a ratos,13
Hoy si   El chisme anda sobrecargado,Preocupado,hoy si   el chisme anda sobrecargado,13
"No hay nada de malo en llorar por un mal día, por estrés sobrecargado de la Universidad o el trabajo, por problemas personales o por el motivo que quieran. Si usted quiere llorar, hágalo donde quiera y a la hora que quiera, libérese de ese peso que solo USTED entiende.",Preocupado,no hay nada de malo en llorar por un mal día por estrés sobrecargado de la universidad o el trabajo por problemas personales o por el motivo que quieran si usted quiere llorar hágalo donde quiera y a la hora que quiera libérese de ese peso que solo usted entiende,13
"Acaban de soltar la lista de clientes del Pedófilo Epstein y el site está sobrecargado. El mundo entero pendiente a ver los nombres de Pedófilos desgraciados que violaron y traficaron niños. 🤬🐷 Obvio, salió Bill Clinton y Prince Andrew. Asquerosos Cerdos 🐽",Preocupado,acaban de soltar la lista de clientes del pedófilo epstein y el site está sobrecargado el mundo entero pendiente a ver los nombres de pedófilos desgraciados que violaron y traficaron niños  obvio salió bill clinton y prince andrew asquerosos cerdos,13
"Han conseguido lo más dificil, no han arreglado el problema en los centros donde había sobrecarga y han sobrecargado los centros donde no había problemas",Preocupado,han conseguido lo más dificil no han arreglado el problema en los centros donde había sobrecarga y han sobrecargado los centros donde no había problemas,13
"Eliminado cosas de mi galería me di cuenta de lo quemado que estaba mental, físicamente y en todo sentidos, de lo sobrecargado que estaba en todo momento. Del llanto que se me salía de la nada por qué sentía que ya no podía más.",Preocupado,eliminado cosas de mi galería me di cuenta de lo quemado que estaba mental físicamente y en todo sentidos de lo sobrecargado que estaba en todo momento del llanto que se me salía de la nada por qué sentía que ya no podía más,13
"ME ESTÁN DICIENDO QUE MI MAQUILLAJE ES MUY SOBRECARGADO, ellos no entienden que nunca es suficiente brillo en los ojos",Preocupado,me están diciendo que mi maquillaje es muy sobrecargado ellos no entienden que nunca es suficiente brillo en los ojos,13
"Desbordante y efervescente, pero a qué costo?",Preocupado,desbordante y efervescente pero a qué costo,13
"Llenita de pueblo va a estar la ""cena en el conrad"" de yamandu. Desbordante de humildad.  Oddone seguro va.. Cpa ferrere le paga el costoso ticket Capaz habla de ajuste o mal del plebiscito  A  U$10000 la mesa, para además escuchar al cheto de Vilaro  Realmente, bien de izquierda",Preocupado,llenita de pueblo va a estar la cena en el conrad de yamandu desbordante de humildad  oddone seguro va cpa ferrere le paga el costoso ticket capaz habla de ajuste o mal del plebiscito  a  u10000 la mesa para además escuchar al cheto de vilaro  realmente bien de izquierda,13
También me veo cantando a corazón desbordante  todos los temas de Floricienta,Preocupado,también me veo cantando a corazón desbordante  todos los temas de floricienta,13
"Ando en mi romantic era ❤️‍🔥 Alv el dolor, bienvenido el amor desbordante",Preocupado,ando en mi romantic era  alv el dolor bienvenido el amor desbordante,13
"Viendo la cabalgata con ilusión desbordante desde Oban, costa oeste de Escocia! Irene, Dani y Pelusa 🐶#CabalgataRTVE",Preocupado,viendo la cabalgata con ilusión desbordante desde oban costa oeste de escocia irene dani y pelusa,13
"La desbordante corrupción, al infiltrarse en la estructura del poder, ha resultado devastadora. La lucha contra este fenómeno ha utilizado tácticas persecutorias propias de sistemas políticos cerrados. Disminuir la corrupción implica revitalizar el sistema constitucional, una tarea que solo puede lograrse mediante innovaciones institucionales. La consulta popular debería ser una oportunidad para avanzar en esta dirección.",Preocupado,la desbordante corrupción al infiltrarse en la estructura del poder ha resultado devastadora la lucha contra este fenómeno ha utilizado tácticas persecutorias propias de sistemas políticos cerrados disminuir la corrupción implica revitalizar el sistema constitucional una tarea que solo puede lograrse mediante innovaciones institucionales la consulta popular debería ser una oportunidad para avanzar en esta dirección,13
"VIERNES 5 DE ENERO: AMADO DIOS, en este nuevo amanecer, elevo mi corazón hacia Ti con gratitud desbordante. Gracias por el regalo de un día más de vida. Amén 🙏🙏🙏",Preocupado,viernes 5 de enero amado dios en este nuevo amanecer elevo mi corazón hacia ti con gratitud desbordante gracias por el regalo de un día más de vida amén,13
"El amor con la persona correcta no se siente como una emoción desbordante que vacila, sino como una sensación de paz y libertad de ser tú misma en compañía del otro.",Preocupado,el amor con la persona correcta no se siente como una emoción desbordante que vacila sino como una sensación de paz y libertad de ser tú misma en compañía del otro,13
#LPAxFCB   se hablaba de que Lamine no estaba igual de desbordante y valiente en los últimos partidos y por eso Raphinha robó el puesto. pero claramente para estos minutos finales donde te vienes arriba y el partido está a tu favor Lamine Yamal es DECISIVO.  ha hecho el 1-2.,Preocupado,se hablaba de que lamine no estaba igual de desbordante y valiente en los últimos partidos y por eso raphinha robó el puesto pero claramente para estos minutos finales donde te vienes arriba y el partido está a tu favor lamine yamal es decisivo  ha hecho el 12,13
"ㅤ── No entiendo lo que dices, pero debes detenerte. No existe ninguna gemela mía.   De a poco, aquella desbordante energía que cubrió su silueta de oscuridad comienza a desaparecer.",Preocupado,ㅤ no entiendo lo que dices pero debes detenerte no existe ninguna gemela mía   de a poco aquella desbordante energía que cubrió su silueta de oscuridad comienza a desaparecer,13
La manera en la que es altamente probable que cuando llegue a Pto me encuentre el apartamento inundado,Preocupado,la manera en la que es altamente probable que cuando llegue a pto me encuentre el apartamento inundado,13
"Bueno, hoy he inundado mi ciudad y buggeado el Spiderman.  Trabajo bien hecho",Preocupado,bueno hoy he inundado mi ciudad y buggeado el spiderman  trabajo bien hecho,13
deje todo el patio inundado y la alfombra impoluta de mugre ajajajaj q malaria,Preocupado,deje todo el patio inundado y la alfombra impoluta de mugre ajajajaj q malaria,13
Si no hubiera pasado lo que pasó en Guatemala mi tuiter estaría inundado de puro amortz del amor inmenso que tengo por un hermoso ser 🥰,Preocupado,si no hubiera pasado lo que pasó en guatemala mi tuiter estaría inundado de puro amortz del amor inmenso que tengo por un hermoso ser,13
El CONICET tendria q haber inundado el pais con repelentes,Preocupado,el conicet tendria q haber inundado el pais con repelentes,13
Juanchaco en Buenaventura Inundado de Basura.. temporada de turismo . Y te recibe un Basurero ❌en el Muelle.. muy mala impresion para el Turista. @FranciaMarquezM @DilianFrancisca @LaFMCali @elpaiscali @MabelLaraNews @ELTIEMPO @sergio_fajardo @MinAmbienteCo @ParquesColombia,Preocupado,juanchaco en buenaventura inundado de basura temporada de turismo  y te recibe un basurero en el muelle muy mala impresion para el turista,13
Juanchaco en Buenaventura Inundado de Basura.. temporada de turismo . Y ye recibe un Basurero ❌en el Muelle.. muy mala impresion para el Turista. @CaracolRadio @GobValle @EnterateCali @Noti90Minutos @MabelLaraNews @ClaraLuzRoldan @BLUPacifico @HotelMaguipi @petrogustavo,Preocupado,juanchaco en buenaventura inundado de basura temporada de turismo  y ye recibe un basurero en el muelle muy mala impresion para el turista,13
El año no puede empezar peor :),Preocupado,el año no puede empezar peor,13
36 de diciembre y amanecimos con el apartamento inundado jajajajaja,Preocupado,36 de diciembre y amanecimos con el apartamento inundado jajajajaja,13
El patio re inundado quedó 🤦,Preocupado,el patio re inundado quedó,13
"Te amo mucho Kim Daniel, si no hubieras aparecido hoy habría colapsado",Preocupado,te amo mucho kim daniel si no hubieras aparecido hoy habría colapsado,13
"Situación: Sala de espera de sanatorio cardiovascular.   Familia esperando a hija en operación por ACV.   Tres horas de operación.   Sin obra social, esta chica estaría muerta.   El sistema público está colapsado.   Donde va a parar la gente que no pueda pagar la OS?   Triste.",Preocupado,situación sala de espera de sanatorio cardiovascular   familia esperando a hija en operación por acv   tres horas de operación   sin obra social esta chica estaría muerta   el sistema público está colapsado   donde va a parar la gente que no pueda pagar la os   triste,13
"3 días sin luz en el HGSJDD, un compañero de EPS secuestrado Y NADIE ESTÁ HABLANDO DE ESO más que el personal de salud, el sistema de salud en Guatemala está colapsado, ojalá el @MPguatemala, la @PDHgt y a @DrGiammattei les interesara al menos un poco la situación :)))",Preocupado,3 días sin luz en el hgsjdd un compañero de eps secuestrado y nadie está hablando de eso más que el personal de salud el sistema de salud en guatemala está colapsado ojalá el  la  y a  les interesara al menos un poco la situación,13
Bocagrande colapsado! Tráfico imposible!,Preocupado,bocagrande colapsado tráfico imposible,13
Colapsado y aburrido de la vida...,Preocupado,colapsado y aburrido de la vida,13
"Felicito ampliamente al imbécil de @LuisBNava por cerrar una arteria crítica de la ciudad Corregidora está colapsado el centro. ¡Gracias, …ndejo!",Preocupado,felicito ampliamente al imbécil de  por cerrar una arteria crítica de la ciudad corregidora está colapsado el centro gracias ndejo,13
Ya estoy colapsado de aguantar cosas.,Preocupado,ya estoy colapsado de aguantar cosas,13
Terminando primer semana de enero y para variar los #chorrossv colapsado desde la Monseñor.,Preocupado,terminando primer semana de enero y para variar los  colapsado desde la monseñor,13
"Lo caída que está la página del Movistar que intento entrar a “Mis Compras” para ver la entrada y NO CARGA. No desesperare, se que esta colapsado",Preocupado,lo caída que está la página del movistar que intento entrar a mis compras para ver la entrada y no carga no desesperare se que esta colapsado,13
Voy con mi hija en vuelo @LATAM_CHI de Antof-Stgo con maleta de cabina y vuelo internacional. Me OBLIGARON a enviar maleta por bodega contra mi voluntad. El aeropuerto internacional está colapsado. Qué pasa si tardo tiempo retirando la maleta y retrasa trámite intern.?!! 😤😤,Preocupado,voy con mi hija en vuelo  de antofstgo con maleta de cabina y vuelo internacional me obligaron a enviar maleta por bodega contra mi voluntad el aeropuerto internacional está colapsado qué pasa si tardo tiempo retirando la maleta y retrasa trámite intern,13
"Y entonces aprendimos que si está desbordado y ni él se aguanta es por dos razones: hambre o sueño. Hoy resultó ser la segunda y ya, hijo dormido a las 8 p. m.  🥳",Preocupado,y entonces aprendimos que si está desbordado y ni él se aguanta es por dos razones hambre o sueño hoy resultó ser la segunda y ya hijo dormido a las 8 p m,13
NADA se va a solucionar sin una ley anti fake news. El manejo de la información está absolutamente desbordado.,Preocupado,nada se va a solucionar sin una ley anti fake news el manejo de la información está absolutamente desbordado,13
"Yo lo que veo en este presidente es un ego desbordado, un aire de superioridad y bastantante indolencia sobre la tragedia que vive el pais.",Preocupado,yo lo que veo en este presidente es un ego desbordado un aire de superioridad y bastantante indolencia sobre la tragedia que vive el pais,13
estoy desbordado,Preocupado,estoy desbordado,13
Dios estoy desbordado,Preocupado,dios estoy desbordado,13
Desbordado de felicidad y de ansiedad🥹🫶🏽,Preocupado,desbordado de felicidad y de ansiedad,13
"Termino de lavar la loza,tomo un vaso de agua y ya esta desbordado de platos y ollas sucias",Preocupado,termino de lavar la lozatomo un vaso de agua y ya esta desbordado de platos y ollas sucias,13
Las consecuencias de lo que se viene haciendo desde 2002 hasta ahora:  Default Sin justicia Hiperinflacion Infraestructura destruida Endeudamiento Gasto publico desbordado Carga tributaria confiscatoria Regulaciones que violan la constitucion,Preocupado,las consecuencias de lo que se viene haciendo desde 2002 hasta ahora  default sin justicia hiperinflacion infraestructura destruida endeudamiento gasto publico desbordado carga tributaria confiscatoria regulaciones que violan la constitucion,13
"""Simplemente obstruí un poco mi inodoro y comenzó desbordado y tuve un ataque de pánico así que usé el émbolo que fue tan jodidamente tonto porque luego comenzó a desbordarse aún más y luego comencé temblando y fue a poner toallas alrededor del fondo de el baño lo cual me hace-",Preocupado,simplemente obstruí un poco mi inodoro y comenzó desbordado y tuve un ataque de pánico así que usé el émbolo que fue tan jodidamente tonto porque luego comenzó a desbordarse aún más y luego comencé temblando y fue a poner toallas alrededor del fondo de el baño lo cual me hace,13
Pones jazz quesque para relajarte y todo es un sonidero desbordado para todos lados.  Ya mejor le cambio a canciones de Celine Dion.,Preocupado,pones jazz quesque para relajarte y todo es un sonidero desbordado para todos lados  ya mejor le cambio a canciones de celine dion,13
"Mañana viajo muy lejos solo por primera vez, estoy demasiado nervioso preocupado, todo",Preocupado,mañana viajo muy lejos solo por primera vez estoy demasiado nervioso preocupado todo,13
"No quiero tener animales, estaría preocupado y con ansiedad siempre cuando salga d casa aunq sean 2 horas",Preocupado,no quiero tener animales estaría preocupado y con ansiedad siempre cuando salga d casa aunq sean 2 horas,13
"En Colombia, entre enero y septiembre del 2023, hubo 276 homicidios cometidos por menores de edad, 23 fueron por reincidentes.  Además hubo 1.065 menores de edad capturados por hurto. El presidente no se ve muy preocupado por los menores de edad en Colombia.",Preocupado,en colombia entre enero y septiembre del 2023 hubo 276 homicidios cometidos por menores de edad 23 fueron por reincidentes  además hubo 1065 menores de edad capturados por hurto el presidente no se ve muy preocupado por los menores de edad en colombia,13
"nunca se habían preocupado tanto por mí, ni me habían tratado tan bien como ahora 💚🥺",Preocupado,nunca se habían preocupado tanto por mí ni me habían tratado tan bien como ahora,13
Jamás había visto a mi papá tan preocupado y enojado por algo mío 😭💔,Preocupado,jamás había visto a mi papá tan preocupado y enojado por algo mío,13
Cartagena y su gobierno local están preocupado por la baja del turismo y de ocupacion hotelera.  que esperas que pase si estafan al que medio habla diferente.   Mandan huevo.,Preocupado,cartagena y su gobierno local están preocupado por la baja del turismo y de ocupacion hotelera  que esperas que pase si estafan al que medio habla diferente   mandan huevo,13
To preocupado,Preocupado,to preocupado,13
"ay, ya me había preocupado",Preocupado,ay ya me había preocupado,13
"Hoy murió Carlos Bremer empresario Mexicano exitoso y visionario, siendo un ejemplo de lo que debe ser y  hacer un empresario, preocupado y apoyando a su personal y emprendiendo más negocios en conjunto con dueños de MiPYMES. México necesita empresarios cómo él y no explotadores.",Preocupado,hoy murió carlos bremer empresario mexicano exitoso y visionario siendo un ejemplo de lo que debe ser y  hacer un empresario preocupado y apoyando a su personal y emprendiendo más negocios en conjunto con dueños de mipymes méxico necesita empresarios cómo él y no explotadores,13
yo no puedo creer que mi papá me llame trompudo a preguntarme que yo porque no tengo novio😭😭😭😭😭😭 que se siente muy preocupado jaksjajakjsja,Preocupado,yo no puedo creer que mi papá me llame trompudo a preguntarme que yo porque no tengo novio que se siente muy preocupado jaksjajakjsja,13
"Me he dado cuenta que estos últimos años, mi cumpleaños dejo de ser una fecha que me emocionara, creo que tanta expectativa o esperar mucho ha hecho que se haya perdido esa magia y siento que con otras fechas me está pasando lo mismo 😔",Preocupado,me he dado cuenta que estos últimos años mi cumpleaños dejo de ser una fecha que me emocionara creo que tanta expectativa o esperar mucho ha hecho que se haya perdido esa magia y siento que con otras fechas me está pasando lo mismo,13
"Había un perro, pastor alemán. Llorando afuera en la calle, me imagino que dsta perdido, pero baje a ver si podía ayudarlo y cuando abrir la puerta, se fue asustado 😨",Preocupado,había un perro pastor alemán llorando afuera en la calle me imagino que dsta perdido pero baje a ver si podía ayudarlo y cuando abrir la puerta se fue asustado,13
hola perdido soy yo  el ex amor de tu vida,Preocupado,hola perdido soy yo  el ex amor de tu vida,13
"Qué chistosa es Lizli, dice que no puede cometer errores cómo si por eso hubiera perdido.",Preocupado,qué chistosa es lizli dice que no puede cometer errores cómo si por eso hubiera perdido,13
"Si lloras por haber perdido el sol, las lágrimas no te dejarán ver las estrellas ✨",Preocupado,si lloras por haber perdido el sol las lágrimas no te dejarán ver las estrellas,13
"La imagen de la última vez que lo vi/interactúe con él, la aborrezco porque me hizo ver todo lo que en mucho tiempo no quise ver, tiempo tal vez no perdido pero si mal invertido",Preocupado,la imagen de la última vez que lo viinteractúe con él la aborrezco porque me hizo ver todo lo que en mucho tiempo no quise ver tiempo tal vez no perdido pero si mal invertido,13
"vuelvan a mandarme tweets porfavor, no les contestaba porque había perdido esta cuenta",Preocupado,vuelvan a mandarme tweets porfavor no les contestaba porque había perdido esta cuenta,13
algo habré perdido que ando tan comprometido en buscar adentro tuyo algo que está adentro mioo,Preocupado,algo habré perdido que ando tan comprometido en buscar adentro tuyo algo que está adentro mioo,13
"Haciendo un pequeño balance de mi vida me di cuenta que he perdido gente que no me amaba, pero también me di cuenta que ellos perdieron a alguien que los amaba leal y desinteresadamente.  Y uno aprende, y no deja de aprender.           Un día a la vez.",Preocupado,haciendo un pequeño balance de mi vida me di cuenta que he perdido gente que no me amaba pero también me di cuenta que ellos perdieron a alguien que los amaba leal y desinteresadamente  y uno aprende y no deja de aprender           un día a la vez,13
"El ataque con drones y la masacre en la comunidad de Buenavista en Heliodoro Castillo, Guerrero, constatan que el gobierno estatal ha perdido o cedido el control de territorios enteros, abandonando a la población a merced del terror del crimen organizado",Preocupado,el ataque con drones y la masacre en la comunidad de buenavista en heliodoro castillo guerrero constatan que el gobierno estatal ha perdido o cedido el control de territorios enteros abandonando a la población a merced del terror del crimen organizado,13
"cuando pensé haber superado el trauma bastó que mencionaran su nombre, incluso si no hablaban de él, para quedarme completamente paralizado e incapacitado el resto del día.",Preocupado,cuando pensé haber superado el trauma bastó que mencionaran su nombre incluso si no hablaban de él para quedarme completamente paralizado e incapacitado el resto del día,13
"... que Los Reyes Magos, traigan ""lo mejor"", para todos,  para el país y para el mundo.... Nunca ni el país ni el mundo estuvieron en manos de tanto ""inepto incapacitado""... que puede provocar su desintegración. ¡Felices Reyes!, a los creyentes claro...",Preocupado,que los reyes magos traigan lo mejor para todos  para el país y para el mundo nunca ni el país ni el mundo estuvieron en manos de tanto inepto incapacitado que puede provocar su desintegración felices reyes a los creyentes claro,13
Ahora que haré esos 2 meses incapacitado :))),Preocupado,ahora que haré esos 2 meses incapacitado,13
Aquí ponen al pelotero como un incapacitado mental o un animal en celo que no puede tener control de sí mismo,Preocupado,aquí ponen al pelotero como un incapacitado mental o un animal en celo que no puede tener control de sí mismo,13
PETRO está incapacitado para gobernar mi país ! En derecho debe ser removido o renunciar,Preocupado,petro está incapacitado para gobernar mi país  en derecho debe ser removido o renunciar,13
Menos mal estoy incapacitado hasta el lunes porque sin duda así no podría trabajar y ya hubiera mandado a comer vg al que sea que me molestara,Preocupado,menos mal estoy incapacitado hasta el lunes porque sin duda así no podría trabajar y ya hubiera mandado a comer vg al que sea que me molestara,13
1 antialérgico en la noche y quedó (sigo) incapacitado,Preocupado,1 antialérgico en la noche y quedó sigo incapacitado,13
Solo de imaginar el caos que habría en el trabajo si sí estuviera full incapacitado me sube un poquito el amor propio,Preocupado,solo de imaginar el caos que habría en el trabajo si sí estuviera full incapacitado me sube un poquito el amor propio,13
"Pensé que este año sólo había llorado en Madrid y que la primera vez que me había incapacitado para hacer vida fue en octubre pero no, acabo de recordar aquel día de mayo que me sentía mal y decidí no ir a prácticas (y ""teletrabajar"") en el que acabé sentado en la cama llorando",Preocupado,pensé que este año sólo había llorado en madrid y que la primera vez que me había incapacitado para hacer vida fue en octubre pero no acabo de recordar aquel día de mayo que me sentía mal y decidí no ir a prácticas y teletrabajar en el que acabé sentado en la cama llorando,13
"Es increible que esten culpando a Duque cuando existe una prorroga y un acuerdo que conocian hace mas de un año con laa fechas de pago, el Petrismo si es que tiene mucho incapacitado mental.",Preocupado,es increible que esten culpando a duque cuando existe una prorroga y un acuerdo que conocian hace mas de un año con laa fechas de pago el petrismo si es que tiene mucho incapacitado mental,13
"Odio estos bloqueos mentales, me siento saturado.",Preocupado,odio estos bloqueos mentales me siento saturado,13
lo saturado de cosas q está mi vision board x dios,Preocupado,lo saturado de cosas q está mi vision board x dios,13
preguntenle de futbol al dt por favor no quiero saber de nada mas estoy saturado,Preocupado,preguntenle de futbol al dt por favor no quiero saber de nada mas estoy saturado,13
"Que no os engañen queridos.....""Saturado"" ahora significa VACÍO",Preocupado,que no os engañen queridossaturado ahora significa vacío,13
saturado por mentiras que parecen verdades? Para qué criticar un libro que es un inmenso océano de sofisterías y artimañas retóricas salpicado con unos pocos y pequeños islotes en donde asoma un gramo de verdad? Boroni sobre VargaLlosa. Aplica para cualquier politico.,Preocupado,saturado por mentiras que parecen verdades para qué criticar un libro que es un inmenso océano de sofisterías y artimañas retóricas salpicado con unos pocos y pequeños islotes en donde asoma un gramo de verdad boroni sobre vargallosa aplica para cualquier politico,13
No puedo creer que yo alguna vez dije que deberían dejar de impulsar tantas marcas resort wear y Caribbean chic en Colombia porque el mercado estaba saturado de eso y aquí estoy sufriendo porque no encuentro un hpta set de playa que me guste.,Preocupado,no puedo creer que yo alguna vez dije que deberían dejar de impulsar tantas marcas resort wear y caribbean chic en colombia porque el mercado estaba saturado de eso y aquí estoy sufriendo porque no encuentro un hpta set de playa que me guste,13
"Ver como llevan con mucha ilusión los juguetes para sus hijes ha sido mi dosis de serotonina estos días, alch que bonito! hasta olvido lo saturado que va el metro.",Preocupado,ver como llevan con mucha ilusión los juguetes para sus hijes ha sido mi dosis de serotonina estos días alch que bonito hasta olvido lo saturado que va el metro,13
que saturado q estoy,Preocupado,que saturado q estoy,13
"Jajaja wey, le mandé un mensaje a la presidenta que su equipo no estaba bateando. Pendejamente no le puse que dirección y tengo el whatsapp saturado de mensajes de todos los directores 🤡",Preocupado,jajaja wey le mandé un mensaje a la presidenta que su equipo no estaba bateando pendejamente no le puse que dirección y tengo el whatsapp saturado de mensajes de todos los directores,13
"Hemos vuelto a ir al hospital porque el cólico de riñón no mejora después de 5 días. Se han negado a hacerme una ecografía porque tenían el hospital saturado de COVID y gripe A, que si quería me hacían otra analítica. Sigo sin saber si aun tengo la piedra y es lo que me mata.",Preocupado,hemos vuelto a ir al hospital porque el cólico de riñón no mejora después de 5 días se han negado a hacerme una ecografía porque tenían el hospital saturado de covid y gripe a que si quería me hacían otra analítica sigo sin saber si aun tengo la piedra y es lo que me mata,13
Qué onda su viernes? Yo acá muerta del susto intentando hace dos horas sacar un pájaro que quedó atrapado atrás de mi televisor,Preocupado,qué onda su viernes yo acá muerta del susto intentando hace dos horas sacar un pájaro que quedó atrapado atrás de mi televisor,13
Vivir atrapado en el 2014.,Preocupado,vivir atrapado en el 2014,13
Estoy realmente atrapado...,Preocupado,estoy realmente atrapado,13
Que horrible sensación el estar atrapado en un laberinto con tantas variables que simplemente te asfixias con tu propia respiración,Preocupado,que horrible sensación el estar atrapado en un laberinto con tantas variables que simplemente te asfixias con tu propia respiración,13
soy un concepto atrapado en un cuerpo humano,Preocupado,soy un concepto atrapado en un cuerpo humano,13
Atrapado en un conteo regresivo que nunca llega a su final.,Preocupado,atrapado en un conteo regresivo que nunca llega a su final,13
"mis ojos en lo alto de la escala de Mohs, y dentro de los suyos atrapado todo el cosmos...",Preocupado,mis ojos en lo alto de la escala de mohs y dentro de los suyos atrapado todo el cosmos,13
